,Unnamed: 0,RDS2,RDS2.1,RDS2.2,RDS2.3,RDS2.4,RDS2.5,RDS2.6,RDS2.7,RDS2.8,RDS2.9,RDS2.10,RDS2.11,RDS2.12,RDS2.13,RDS2.14,RDS2.15,RDS2.16,RDS2.17,RDS2.18,RDS2.19,RDS2.20,RDS2.21,RDS2.22,RDS2.23,RDS2.24,RDS2.25,RDS2.26,RDS2.27,RDS2.28,RDS2.29,RDS2.30,RDS2.31,RDS2.32,RDS2.33,RDS2.34,RDS2.35,RDS2.36,RDS2.37,RDS2.38,RDS2.39,RDS2.40,RDS2.41,RDS2.42,RDS2.43,RDS2.44,RDS2.45,RDS2.46,RDS2.47,RDS2.48,RDS2.49,RDS2.50,RDS2.51,RDS2.52,RDS2.53,RDS2.54,RDS2.55,RDS2.56,RDS2.57,RDS2.58,RDS2.59,RDS2.60,RDS2.61,RDS2.62,RDS2.63,RDS2.64,RDS2.65,RDS2.66,RDS2.67,RDS2.68,RDS2.69,RDS2.70,RDS2.71,RDS2.72,RDS2.73,RDS2.74,RDS2.75,RDS2.76,RDS2.77,RDS2.78,RDS2.79,RDS2.80,RDS2.81,RDS2.82,RDS2.83,RDS2.84,RDS2.85,RDS2.86,RDS2.87,RDS2.88,RDS2.89,RDS2.90,RDS2.91
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,425.4202,443.7105,443.1929,443.4517,456.9138,457.1673,457.04055,450.908,450.7655,450.83675,80649.45,574.06,463171.0,433.6078,433.6508,433.6293,445.3401,447.4395,446.38980000000004,441.0367,441.2842,441.16044999999997,446.5396,446.1908,446.3652,443.805,444.2721,444.03855,451.8394,452.7911,452.31525,450.6544,449.9083,450.28135,459.3371,460.2429,459.79,453.0093,453.0771,453.04319999999996,462.3859,462.2393,462.3126,454.1273,455.771,454.94915000000003,461.1972,462.4846,461.84090000000003,452.4204,453.0199,452.72015,440.6006,450.6963,445.64845,289.2655,289.7469,289.50620000000004,113.09909999999999,113.2354,113.16725,284.9099,283.36940000000004,284.13965,114.622,114.4891,114.55555,276.0802,280.9773,278.52875,113.6439,113.6256,113.63475,278.45619999999997,276.8603,277.65825,113.3229,113.555,113.43895,111.01821467200273,111.0119624903534,111.03118988834645,7508.0,7770.0,1256.0,5879.0,1458.0,6660.0,111.15479248343924,111.7797755846965,111.17587152369761,111.85507246376811
7,,433.5269,445.9716,445.5484,445.76,459.0387,459.5955,459.3171,453.1098,453.1899,453.14985,65680.59,451.71,340821.0,435.7717,435.7427,435.7572,448.2259,450.4456,449.33575,443.1117,443.2314,443.17155,449.0301,448.4559,448.743,445.7625,446.3151,446.0388,453.8379,454.993,454.41544999999996,452.7477,452.0546,452.40115000000003,459.423,463.8799,461.65145,454.9068,455.051,454.97889999999995,463.5807,463.5145,463.5476,456.786,458.5094,457.6477,463.571,464.5205,464.04575,455.8254,456.3447,456.08505,441.9423,453.4414,447.69185,290.0342,290.5548,290.29449999999997,113.1864,113.2877,113.23705,285.6175,284.1414,284.87945,114.9534,114.8718,114.9126,276.1868,281.2942,278.7405,114.0754,113.9885,114.03195,278.3626,276.8995,277.63104999999996,113.7751,114.1392,113.95715,111.03655301066482,111.024006198816,111.062563876137,7533.0,7822.0,1560.0,5763.0,1839.0,6226.0,111.19523039611964,111.76151980598222,111.2240954480612,111.79302295422124
8,,433.4932,448.7322,448.3497,448.54094999999995,461.6944,462.2125,461.95345,455.8122,455.8969,455.85455,57605.81,444.98,334091.0,438.0898,438.1414,438.1156,451.4873,453.409,452.44815,445.7814,445.9039,445.84265000000005,451.856,451.2931,451.57455,448.4571,448.9973,448.72720000000004,456.5366,457.7232,457.1299,455.4624,454.6458,455.0541,462.2254,466.4475,464.33645,457.5934,457.7767,457.68505,466.0703,466.0918,466.08105,459.5607,461.2845,460.4226,466.2716,467.1475,466.70955,458.6093,459.1163,458.8628,444.445,456.7946,450.6198,289.4787,290.0075,289.7431,113.1629,113.2881,113.2255,285.084,283.6424,284.3632,114.9357,114.856,114.89585,275.25419999999997,280.7392,277.99670000000003,114.0767,113.9936,114.03515,277.87059999999997,276.416,277.1433,113.7818,114.1449,113.96335,111.0546582852381,111.03589684238048,111.09305160706735,7408.0,7724.0,1252.0,6087.0,1452.0,6562.0,111.15636562971083,111.81896669864328,111.17614606593985,111.84736634703796
9,,433.2775,448.8714,448.3975,448.63445,461.6218,462.1127,461.86725,455.8438,455.8709,455.85735,58607.76,435.75,324861.0,438.1738,438.1687,438.17125,451.9656,453.8744,452.91999999999996,445.8726,445.991,445.93179999999995,451.9264,451.2778,451.6021,448.5413,449.0789,448.8101,456.455,457.5496,457.0023,455.442,454.627,455.0345,461.8581,465.8404,463.84925,457.678,457.8561,457.76705000000004,465.8905,465.897,465.89374999999995,459.6514,461.3792,460.5153,466.1759,467.0572,466.61655,458.694,459.2089,458.95145,444.8046,456.2718,450.53819999999996,290.3663,290.87260000000003,290.61945000000003,113.184,113.3048,113.2444,285.9223,284.4839,285.2031,114.9671,114.8858,114.92645,276.1426,281.5702,278.8564,114.1187,114.0385,114.0786,278.6091,277.15880000000004,277.88395,113.832,114.1903,114.01115,111.07275642519642,111.04778280028482,111.12361392768138,7415.0,7721.0,1324.0,6021.0,1519.0,6493.0,111.16607338444688,111.80914567360351,111.1850197109067,111.83863337713535
