,單元,RDS2,RDS2.1,RDS2.2,RDS2.3,RDS2.4,RDS2.5,RDS2.6,RDS2.7,RDS2.8,RDS2.9,RDS2.10,RDS2.11,RDS2.12,RDS2.13,RDS2.14,RDS2.15,RDS2.16,RDS2.17,RDS2.18,RDS2.19,RDS2.20,RDS2.21,RDS2.22,RDS2.23
0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,125.0,,,,,1631.0,,,
4,,,,,,,,,,,,,,,,,,,,111.748,,878.0,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,
6,,434.8,452.0,465.6,494.2,517.4,540.0,562.2,587.6,621.0,647.0,676.4,747.0,,,,,111.0026,,111.8826,139.73,,,,
7,,,,,,,,,,,,,,,,,,111.3778,,111.9264,132.15,,,,
8,,440.0,504.0,523.4,552.6,575.4,600.2,625.6,652.0,675.8,701.2,720.6,756.0,123.78999999999999,114.52,115.95,119.47,111.4556,115.87665,111.9244,132.48,1273.64,151.0,151.0,111.95741
9,,,,,,,,,,,,,,,,,,111.4564,,111.9261,132.2,,,,
10,,,,,,,,,,,,,,120.43,114.97,116.39,120.36,111.4875,116.02715,111.9278,131.92000000000002,1444.99,137.0,137.0,
11,,450.4,503.4,518.2,544.2,566.2,592.0,619.0,648.0,671.8,697.6,717.2,758.0,,,,,111.4767,,111.9276,131.96,,,,
12,,,,,,,,,,,,,,115.51,115.1,116.37,120.47,111.4565,,111.9277,131.95,,125.0,125.0,
13,,,,,,,,,,,,,,,,,,111.4624,,111.9282,131.87,,,,
14,,,,,,,,,,,,,,,,,,111.4854,,111.929,131.72,,,,
15,,456.2,506.6,521.0,546.0,567.8,593.2,619.8,648.2,671.6,697.2,716.6,752.8,115.52,115.13,115.95,120.08,111.4612,115.96414,111.9288,131.76,1416.62,117.0,117.0,111.21377
16,,,,,,,,,,,,,,,,,,111.4502,,111.9287,131.77,,,,
17,,,,,,,,,,,,,,113.21,114.92,115.73,119.65,111.4625,116.13772,111.9288,131.76,1559.33,129.0,129.0,
18,,479.2,495.2,515.0,542.6,570.6,597.6,630.8,664.6,695.6,727.4,761.0,813.2,,,,,111.4644,,111.9286,131.79,,,,
19,,,,,,,,,,,,,,113.79,114.57,115.43,119.0,111.4787,,111.9288,131.8,,149.0,149.0,
20,,,,,,,,,,,,,,,,,,111.4808,,111.9286,131.8,,,,
21,,,,,,,,,,,,,,,,,,111.4947,,111.9292,131.69,,,,
22,,457.2,504.8,518.6,543.2,564.4,589.8,616.0,643.8,667.0,692.2,712.8,754.8,114.34,114.6,115.33,118.93,111.5184,116.03108,111.9285,131.82,1548.22,127.0,127.0,111.24924
23,,,,,,,,,,,,,,,,,,111.4743,,111.9293,131.68,,,,
