,單元,RDS2,RDS2.1,RDS2.2,RDS2.3,RDS2.4,RDS2.5,RDS2.6,RDS2.7,RDS2.8,RDS2.9,RDS2.10,RDS2.11,RDS2.12,RDS2.13,RDS2.14,RDS2.15,RDS2.16,RDS2.17,RDS2.18,RDS2.19,RDS2.20,RDS2.21,RDS2.22,RDS2.23,RDS2.24
0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,461.0,,,,611.0,,,,,,,611.0,,,
4,,,,,,,,,,,,451.0,,,,,,,,,,,,163.0,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,353.9,365.2,366.7,369.9,372.4,,377.7,380.6,383.7,387.8,393.6,398.7,405.4,,135.19,161.96,111.24308,111.583,111.8386,111.83903,148.1474,195.7645,220.175,114.106,122.0
7,,370.5,385.3,388.2,393.5,398.9,,408.6,413.6,418.8,424.4,431.2,436.2,441.2,,346.58000000000004,,,,,,,287.115,,,
8,,363.6,386.3,392.4,401.7,409.6,,423.6,430.8,438.1,446.2,457.5,466.6,474.9,,311.12,161.55,112.94636,147.2712,111.86156,111.86201,143.6504,494.235,231.0,116.14,122.0
9,,370.3,392.1,398.0,406.6,413.4,,426.2,432.5,439.2,446.4,455.8,462.3,466.8,,,,,,,,,633.46,,,
10,,372.9,393.8,398.2,405.0,412.4,,426.4,432.7,438.8,447.2,456.9,463.8,468.4,,418.02,161.57999999999998,,,111.86495,111.86541,143.0067,632.845,,,122.0
11,,362.1,385.3,392.5,401.5,409.8,,423.5,429.9,436.6,443.7,452.8,459.3,463.9,,,,,,,,,715.55,,,
12,,355.0,384.8,388.7,401.1,409.2,,423.5,430.2,436.0,442.9,451.8,458.7,463.0,,375.19,161.19,,,111.86513,111.86559,142.9726,517.025,,,122.0
13,,355.5,381.2,388.8,398.7,407.2,,422.5,428.9,437.3,444.9,453.1,460.2,461.9,,,,,,,,,,,,
14,,349.8,378.7,387.6,397.4,407.6,,423.2,431.0,437.1,445.5,455.6,462.4,467.7,,414.0,,,,,,,592.9100000000001,,,
15,,352.2,383.1,388.4,400.2,409.6,,425.0,431.8,438.9,446.6,455.9,462.5,465.8,,394.05,161.35,111.87218,167.8158,111.86515,111.86561,142.9688,431.335,227.075,116.513,122.0
16,,336.4,380.1,390.1,400.5,409.7,,425.3,432.1,439.4,447.0,457.0,463.8,468.5,,,,,,,,,605.25,,,
17,,355.4,380.5,389.2,401.1,410.3,,426.1,433.1,440.2,447.8,457.3,463.9,468.6,,401.13,161.81,,,111.86396,111.86442,143.1941,542.325,,,122.0
18,,350.7,382.0,388.4,401.5,410.4,,425.7,432.4,439.9,446.7,454.8,461.6,465.6,,,,,,,,,723.885,,,
