,單元,RDS2,RDS2.1,RDS2.2,RDS2.3,RDS2.4,RDS2.5,RDS2.6,RDS2.7,RDS2.8,RDS2.9,RDS2.10,RDS2.11,RDS2.12,RDS2.13,RDS2.14,RDS2.15,RDS2.16,RDS2.17,RDS2.18,RDS2.19,RDS2.20,RDS2.21,RDS2.22,RDS2.23,RDS2.24,RDS2.25,RDS2.26,RDS2.27
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,111.803,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,21526.0,,,111.9204,111.92089,133.16,,,,,,
7,,,,,,,,,,,,,,,,,,26647.0,,,,,,,,,,,
8,,383.6,443.0,476.0,,552.8,,616.0,,688.8,,759.0,826.2,126.6,126.03999999999999,149.98,165.01999999999998,26981.0,,113.8106,111.9494,111.94993,128.46,1820.46,140.99,148.0,118.68693,,
9,,,,,,,,,,,,,,,,,,27675.0,,,,,,,,,,,
10,,,,,,,,,,,,,,123.01,126.65,151.29,166.94,28120.0,,,111.9542,111.95476,127.71000000000001,2040.6,146.81,,119.35427,,
11,,,,,,,,,,,,,,,,,,28178.0,,,,,,,,,,,
12,,,,,,,,,,,,,,118.28,127.44,152.67000000000002,169.11,29216.0,,,111.9562,111.95677,127.39,,145.69,,,,
13,,,,,,,,,,,,,,,,,,30354.0,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,33649.0,,,,,,,,,,,
15,,385.4,447.8,482.2,,559.2,,620.6,,694.2,,763.4,824.8,117.34,128.32999999999998,157.15,174.48,35546.0,,113.9832,111.9633,111.96391,126.3,2086.7200000000003,146.86,116.0,120.34903,,
16,,,,,,,,,,,,,,,,,,25074.0,,,,,,,,,,,
17,,,,,,,,,,,,,,115.75,128.61,157.96,175.57,34421.0,,,111.9628,111.96332,126.39,2190.24,148.55,,120.91484,,
18,,,,,,,,,,,,,,,,,,36071.0,,,,,,,,,,,
19,,,,,,,,,,,,,,115.23,127.45,159.21,175.66,36511.0,,,111.96340000000001,111.964,126.3,,146.72,,,,
20,,,,,,,,,,,,,,,,,,36805.0,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,36833.0,,,,,,,,,,,
22,,373.4,453.4,483.4,,553.4,,611.0,,667.4,,715.4,763.0,114.53,127.18,158.62,174.8,36460.0,,114.1052,111.9632,111.96378,126.32,2230.92,145.0,118.0,120.88439,,
23,,,,,,,,,,,,,,,,,,35520.0,,,,,,,,,,,
